stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\admin\Desktop\for this shit\towerdef\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08506] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08507] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08507] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08508] added dtor for sample_instance 02C2D848, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08510] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08511] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08511] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08512] added dtor for sample_instance 02C2C588, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08514] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08515] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08516] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08517] added dtor for sample_instance 02C2D0C8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08519] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08520] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08521] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08522] added dtor for sample_instance 02C2D938, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08523] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08524] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08525] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08527] added dtor for sample_instance 02C2C678, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08529] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08529] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08530] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08531] added dtor for sample_instance 02C2D398, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08532] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08533] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08534] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08534] added dtor for sample_instance 02C2D488, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08535] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08536] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08536] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08537] added dtor for sample_instance 02C2DCF8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08538] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08538] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08539] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08540] added dtor for sample_instance 02C2C858, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08540] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08541] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08541] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08542] added dtor for sample_instance 02C2C948, func 61DBB8F3
